sigla_base;equivalencia;secretaria
RIOLUZ;RIOLUZ;Companhia Municipal de Energia e Iluminação
MULTIRIO;MULTIRIO;Empresa Municipal de MultiMeios
RIO-URBE;RIO-URBE;Empresa Municipal de Urbanização
RIO-ÁGUAS;RIO-ÁGUAS;Fundação Instituto das Águas do Município do Rio de Janeiro
Geo-Rio;GEO-RIO;Fundação Instituto de Geotécnica do Município do Rio de Janeiro
FPJ;FPJ;Fundação Parques e Jardins
PREVI-RIO;PREVI-RIO;Instituto de Previdência e Assistência do Município do Rio de Janeiro
CVL;CASA CIVIL;Secretaria Municipal da Casa Civil
SMA;SMA;Secretaria Municipal de Administração
AC;SEAC-RIO;Secretaria Especial de Ação Comunitária
SEAC-RIO;SEAC-RIO;Secretaria Especial de Ação Comunitária
SC;SECONSERVA;Secretaria Municipal de Conservação
SECONSERVA;SECONSERVA;Secretaria Municipal de Conservação
SECONSERVA;SECONSERVA;Secretaria Municipal de Conservação e Serviços Públicos
SCMA;SECONSERMA;Secretaria Municipal de Conservação e Meio Ambiente
SECONSERMA;SECONSERMA;Secretaria Municipal de Conservação e Meio Ambiente
SMC;SMC;Secretaria Municipal de Cultura
SME;SME;Secretaria Municipal de Educação
F;SMF;Secretaria Municipal de Fazenda
SMF;SMF;Secretaria Municipal de Fazenda
SMFP;SMFP;Secretaria Municipal de Fazenda e Planejamento
H;SMH;Secretaria Municipal de Habitação
SMH;SMH;Secretaria Municipal de Habitação
SMHC;SMHC;Secretaria Municipal de Habitação e Cidadania
I;SMI;Secretaria Municipal de Infraestrutura
SMI;SMI;Secretaria Municipal de Infraestrutura
IH;SMIH;Secretaria Municipal de Infraestrutura e Habitação
SMIH;SMIH;Secretaria Municipal de Infraestrutura e Habitação
IHC;SMIHC;Secretaria Municipal de Infraestrutura, Habitação e Conservação
SMIHC;SMIHC;Secretaria Municipal de Infraestrutura, Habitação e Conservação
O;SMO;Secretaria Municipal de Obras
SMO;SMO;Secretaria Municipal de Obras
SMAR;SMAR;Secretaria Municipal de Saneamento e Recursos Hídricos
S;SMS;Secretaria Municipal de Saúde
SMS;SMS;Secretaria Municipal de Saúde
UIH;SMUIH;Secretaria Municipal de Urbanismo, Infraestrutura e Habitação
SMUIH;SMUIH;Secretaria Municipal de Urbanismo, Infraestrutura e Habitação
QV;SEMESQV;Secretaria Municipal do Envelhecimento Saudável e Qualidade de Vida
SEMESQV;SEMESQV;Secretaria Municipal do Envelhecimento Saudável e Qualidade de Vida
